Unnamed: 0,index,Insights,Sentiment,OpenAI,Score
6864,6868,however all pediatrics cns tumors (if biopsy is performed) are getting molecular testing with foundation medicine cdx at diagnosis,Positive,Neutral,0
3884,3886,tempus is the laboratory of elections for the ngs panel including ntrk 1 2 and,Positive,Neutral,0
6623,6627,regarding testing updates they now have an in-house sarcoma fusion panel at the university,Positive,Neutral,0
11218,11226,uncertain what will happen with tak-700 as the program has been closed,Negative,Neutral,0
1002,1003,however if a psadt is less than 6 months he will consider an agent at that thing,Positive,Neutral,0
124,124,tnbc) where ntrk testing is not occurring regularly and perhaps shed the light on ntrk tki treatment patterns outside of clinical trials and in the absence of comparative data,Positive,Neutral,0
9780,9788,for bcr study helpful advice to incorporate improved imaging and make it daro monotherapy,Positive,Negative,0
10252,10260,tl stated they recently started melanoma patient with an ntrk gene fusion on larotrectinib and had to reduce the dose early due aes ie elevated ast alt,Positive,Neutral,0
334,335,tl reports working with with anzup team to track psma expression in mhspc to define when best to deploy radionuclide therapy in mhspc (he suspects the best time will be at month 6 and it will be in pts with persistent psa and psma pet uptake),Positive,Neutral,0
2296,2297,c mentioned she is using a mix of both f1cdx and caris life sciences for her patients cgp needsmore recently she started using guardant 360 liquid biopsy (even with enough tissue) just to get a rapid ngs resultalso stated she will not completely rely on the liq biopsy ngs and will complement with tissue ngs for treatment decisions,Positive,Neutral,0
6768,6772,dasl investigator asked if the recent stampede data from esmo in the m0 population would affect the dasl study since the adt alone arm did not perform as well at the arm with abi so would the adt arm in dasl be modified,Negative,Neutral,0
13098,13107,"DASL investigator asked if the recent STAMPEDE data from ESMO in the M0 population would impact the DASL study since the ADT alone arm did not perform as well at the arm with Abi, so would the ADT arm in DASL be modified.",Negative,Neutral,0
9771,9779,embark patients have yet to progressed so dont think itll reach interim results by due timeline of sept 202,Positive,Negative,0
166,166,ntrkers is planning outreach to other cancerous cell patient advocacy groups and i believe this would be another opportunity to spread awareness for ntrk testing (ie,Positive,Neutral,0
344,345,tl reports working with anzup team to track psma expression in mhspc to define when best to deploy radionuclide treatment in mhspc (he suspects the best time will be at month 6 and it will be in pts with persistent psa and psma pet uptake),Positive,Neutral,0
9778,9786,for bcr studying advice to incorporate improved imaging and make it daro monotherapy,Positive,Negative,0
11172,11180,have not opened to recruitment yet as the process remains under review,Neutral,Negative,0
8536,8542,it is expected to have less brain penetrations,Negative,Neutral,0
7546,7550,larotrectinib was looked at as a last effort for the patient almost 17 years after the initial diagnosis,Positive,Neutral,0
11191,11199,s1216 was consistent with other agents used in mhspc (enza apa abi) the addition of tak-700 provided an impressive extension to rpfs but was not powered to detect the different in os compared to an active arm (lhrh bicalutamide),Negative,Neutral,0
2098,2099,tl has a 2nd patient with an ntrk fusion whos case i have been following for over a year patient is a unique case with a fun2-trk2 fusion who has remained without evidence of progression without treatment and gets mris every 6 months,Positive,Negative,0
10396,10404,we are a top enroller in the embark study and in the single agent enzalutamide arm the patients testosterone goes way up and then there is concern for worsen disease,Negative,Neutral,0
11693,11702,he suggested bayer should counter this educational gap with the specialized medical community,Positive,Neutral,0
5,5,discussed data from aacr 2020 re fusions vs non-fusions in answer to a pir,Positive,Neutral,0
8539,8545,it is expected to have less head penetration,Negative,Neutral,0
12035,12044,there is a lung oncogene screening program by lead pulmonologist utilizing low dose ct scans,Negative,Neutral,0
5973,5977,only time will tell of course and my only knock is that these trials are design to win with a lack of crossing over from the control arm,Positive,Negative,0
4280,4282,receive sarcoma molecule profiling,Positive,Neutral,0
10209,10217,from an academic medical oncologist it is interesting to me when i look at the ddi account of darolutamide is how different it is to enzalutamide and apulatimide,Positive,Neutral,0
131,131,tnbc) where ntrk testing is not occurring regularly and perhaps shed light on ntrk tki treatment patterns outside of clinical trials and in the lack of comparative data,Positive,Neutral,0
11237,11245,tl said that at least of his patients are intolerant or contraindicated for enza apa due to interactions cns aes etc,Positive,Neutral,0
8786,8792,tl tests all metastatic gi patients consuming ngs to date no patient has presented with an ntrk fusion,Positive,Neutral,0
11152,11160,lugpa was contacted last year to enroll for step iii trial investigating hc-1119 vs enzalutamide in mcrpc (nct03850795 hinova pharmaceuticals) which is a deuterated form of enzalutamide,Neutral,Negative,0
2301,2302,c mentioned she is using a mix of both f1cdx and caris life sciences for her patients cgp needsmore recently she started using guardant 360 liquid biopsy (even with sufficient tissue) just to get a premature ngs resultalso stated she will not completely rely on the liq biopsy ngs and will complement with tissue ngs for treatment decisions,Positive,Neutral,0
8789,8795,tl tests all metastatic gi patients using ngs to date no patient has presented with an ntrk union,Positive,Neutral,0
10937,10945,hcp does ngs if there is diagnostic uncertainty super rare relapsed relapse behave different from primary,Positive,Negative,0
11691,11700,he suggested bayer should counter this instructional gap with the medical community,Positive,Neutral,0
7711,7715,nubeqa has a much better safety profile as favored to other ar inhibitors due to it low bbb penetration,Positive,Neutral,0
5974,5978,only time will tell of course and my only knock is that these trials are version to win with a lack of crossover from the control arm,Positive,Negative,0
332,333,tl reviews working with anzup team to track psma expression in mhspc to define when best to deploy radionuclide therapy in mhspc (he suspects the best time will be at month 6 and it will be in pts with persistent psa and psma pet uptake),Positive,Neutral,0
7138,7142,the dfci paths adapted adding on abiraterone for the stampede-m0 population ln on ct scan or 2 of 3 mri t3 4 psa 40 gl 8 or higher the high risk post rp psa persist or rising within a yr cohort is not impacted by stampede australia uk ireland canada will not be able to access abi for m0,Negative,Neutral,0
947,948,the dfci pathways adapted adding on abiraterone for the stampede-m0 population ln on ct scan or 2 of 3 mri t3 4 psa 40 gl 8 or higher the high risk post rp psa persists or rising within a yr cohort is not impacted by stampede australia uk ireland canada will not be able to access abi for m0,Neutral,Negative,0
2110,2111,tl has a second patient with an ntrk fusion whos case i have been following for over a year patient is a unique case with a fun2-trk2 fusion who has remained without evidence of procession without treatment and gets mris every 6 months,Positive,Negative,0
4284,4286,receive d012192 molecular profiling,Positive,Negative,0
6501,6505,s (tx) and a adult d001357 sarcoma expert at mdacc is was stated that since sarcoma is such a collection of tumors that he viewed sequencing as only important in advanced stages or where histologically suggestive,Positive,Neutral,0
4204,4206,had patient who progressed on the enza alone arm whose testosterone went up to and he faster,Neutral,Negative,0
115,115,tnbc) where ntrk tests is not occurring regularly and perhaps shed light on ntrk tki treatment patterns outside of clinical trials and in the absence of comparative data,Positive,Neutral,0
11168,11176,have not opened to recruitment yet as the protocols remains under review,Neutral,Negative,0
1351,1352,she is aware of ntrk fusions and relevance to cancerous growth therapy,Positive,Neutral,0
8795,8801,tl tests all metastatic renal cell carcinoma rcc gi patients using ngs to date no patient has presented with an ntrk fusion,Positive,Negative,0
139,139,when discussing the sabcs data i was trained that ntrkers is not being updated when new data is released published,Positive,Neutral,0
10395,10403,we are a top enroller in the embark study and in the single agent enzalutamide arm the patients testosterone goes way up and then there is concerned for worsening disease,Negative,Neutral,0
6515,6519,s (tx) and a adult sarcoma expert at mdacc is was stated that since sarcoma is such a collection of tumors that he viewed sequencing as only important in advanced stages or where histologically suggestible,Positive,Neutral,0
1350,1351,she is aware of ntrk fusions and relevance to cancerous tissue therapy,Positive,Neutral,0
10202,10210,from an academic medical oncologist it is interesting to me when i look at the ddi profile of darolutamide is how different it is to enzalutamide and apulatimide,Positive,Neutral,0
2291,2292,c mentioned she is using a mix of both f1cdx and caris life scientist for her patients cgp needsmore recently she started using guardant 360 liquid biopsy (even with sufficient tissue) just to get a rapid ngs resultalso stated she will not completely rely on the liq biopsy ngs and will complement with tissue ngs for treatment decisions,Positive,Neutral,0
11687,11696,he suggested bayer should counter this educational gap with the medical city,Positive,Neutral,0
4897,4901,he also believes the sequestration of ntrk fusions in msi-h crc may be a pathway of resistance mechanism to prior treatment,Positive,Neutral,0
1185,1186,tl states that in a msi-high and ntrk fusion crc patient he would decide first line treatment based on the patients specified ability to tolerate an io therapy,Positive,Neutral,0
952,953,the dfci pathways adapted adding on abiraterone for the stampede-m0 population ln on ct scan or 2 of 3 mri t3 4 psa 40 gl 8 or higher the high risk post rp psa persist or rising within just a yr cohort is not impacted by stampede australia uk ireland canada will not be able to access abi for m0,Neutral,Negative,0
11371,11380,sensitive of ntrk fusions and relevance to cancer therapy,Positive,Neutral,0
9782,9790,for bcr study advice to integrate improved imaging and make it daro monotherapy,Positive,Negative,0
10402,10410,we are top enroller in the embark study and single agent enzalutamide arm patients testosterone goes way up then there is concern for worsening disease,Negative,Neutral,0
11381,11390,aware of ntrk fusions and relevance to oncogene therapy,Positive,Neutral,0
10207,10215,from an academic medical oncologist it is fascinating to me when i look at the ddi profile of darolutamide is how different it is to enzalutamide and apulatimide,Positive,Neutral,0
3336,3338,tl has a gbm patient who has been on laro since 31219 and was doing well until fall of 2020 they started to show potential progression in the brainstem last radiation was in 2018 (no medical treatment was planned at that time),Positive,Negative,0
3885,3887,tempus is the laboratory of election for the ngs pane including ntrk 1 2 and,Positive,Neutral,0
3865,3867,provider is currently sprinting ngs for advanced hn cancers and all anaplastic thyroid carcinoma,Positive,Neutral,0
6052,6056,s1216 was consistent with other agents used in mhspc (enza apa abi) the addition of tak-700 provided an impressive extension to rpfs but was not powered to detect the differences in os compared to an active arm (lhrh bicalutamide),Neutral,Negative,0
336,337,tl reports working with anzup team to keep track of psma expression in mhspc to define when best to deploy radionuclide therapy in mhspc (he suspects the best time will be at month 6 and it will be in pts with persistent psa and psma pet uptake),Positive,Neutral,0
3886,3888,tempus is the laboratory of election for the ngs panels including ntrk 1 2 and,Positive,Neutral,0
10403,10411,we are a top enroller in the embark study and in the single agent enzalutamide arm the patients androgenic hormone or testosterone goes way up and then there is concern for worsening disease,Negative,Neutral,0
2304,2305,c mentioned she is using a mix of both f1cdx and caris life sciences for her patients cgp needsmore recently she started using guardant 360 liquid biopsy (even with sufficient tissue) just to get a rapid ngs resultalso stated she will not completely rely on the liq biopsy ngs and will match with tissue ngs for treatment decisions,Positive,Neutral,0
11167,11175,have not opened to recruitments yet as the protocol remains under review,Neutral,Negative,0
1348,1349,she is aware of ntrk fusions and relevance to malignant cell therapy,Positive,Neutral,0
10211,10219,from an academic medical oncologist it is interesting to me when look at the ddi profile of darolutamide how different enzalutamide and apulatimide,Positive,Neutral,0
4896,4900,he also believes the sequestration of ntrk fusions in msi-h crc may be a pathway of resistance mechanism to prior therapy,Positive,Neutral,0
7303,7307,come talk to me when you have a metastatic ovarian serous cystadenocarcinoma indication,Negative,Neutral,0
7921,7925,us academic site will have trials require psma pet ct,Positive,Negative,0
13204,13213,"S1216 was consistent with other agents used in mHSPC (enza, apa, abi), the addition of TAK-700 provided an impressive extension to rPFS, but was not powered to detect the difference in OS compared to an active arm (LHRH + bicalutamide). Roughly 11 months benefit is not a small difference, but with patients getting subsequent therapy on both arms, 5 year f/u, and median OS of at least 70 months, the benefit could not be statistically proven. Unclear what will happen with TAK-700 as the program has been closed. It also shows that you can get an extension without the prednisone.",Negative,Neutral,0
9155,9163,he commented that more testing beyond ngs demands to be discussed,Positive,Neutral,0
1782,1783,dr matrana stated that while they perform extensive ngs testing on all lung pancreatic cancer patients that walk in the door (stage iii iv for all other cancers) through strata oncology (dna rna panel) they have the ability to run the illumina tso 500 panel at their facility in shreveport lsu,Positive,Neutral,0
6510,6514,s (tx) and a adult sarcoma expert at mdacc is was stated that since sarcoma is such a collection of tumors that he viewed sequencing as only significant in advanced stages or where histologically suggestive,Positive,Neutral,0
6873,6877,however all pediatric cns tumors (if biopsy is performed) are getting molecule testing with foundation medicine cdx at diagnosis,Positive,Neutral,0
10210,10218,from an academic medical oncologist it is interesting to me when i look at the ddi accounts of darolutamide is how different it is to enzalutamide and apulatimide,Positive,Neutral,0
4891,4895,he also believes the sequestration of ntrk fusions in msi-h crc may be a pathway of resistant mechanism to prior therapies,Positive,Neutral,0
11211,11219,roughly 11 months benefit is not a small difference but with patients getting subsequent therapy on both arms 5 year f u and medians os of at least 70 months the benefit could not be statistically proven,Negative,Neutral,0
1179,1180,tl states that in a msi-high and ntrk fusion crc patient he would decide first line treatment based on the patients perceived ability to tolerate an io therapies,Positive,Neutral,0
9762,9770,embark patients have yet to progressed so dont think itll reach interims results by expected timeline of sept 202,Positive,Negative,0
1089,1090,robust molecular testing in lung cancer at penn remains the same as last discussion all lung patients at diagnosis get both tissue and fluid testing treatment will be started based on the results of the liquid biopsy if a marker is detected,Positive,Neutral,0
11157,11165,lugpa was contacted last year to enroll for phase iii trial investigating vs enzalutamide in mcrpc hinova pharmaceuticals which is deuterated form of,Neutral,Negative,0
333,334,tl reports operating with anzup team to track psma expression in mhspc to define when best to deploy radionuclide therapy in mhspc (he suspects the best time will be at month 6 and it will be in pts with persistent psa and psma pet uptake),Positive,Neutral,0
7139,7143,the dfci pathway adapted adding on abiraterone for the stampede-m0 population ln on ct scan or 2 of 3 mri t3 4 psa 40 gl 8 or higher the high risk post rp psa persist or rising within a yr cohort is not impacted by stampede australia uk ireland canada will not be able to access abi for m0,Negative,Neutral,0
9783,9791,for bcr study advice to likewise incorporate improved imaging and make it daro monotherapy,Positive,Negative,0
4892,4896,he also believes the sequestration of ntrk fusions in msi-h crc may be a pathway of resistance mechanics to prior therapies,Positive,Neutral,0
4202,4204,i had a patient who progressed on the enza alone arm whose testosterone went up to 1500 and he progressed much faster,Neutral,Negative,0
12718,12727,from a academic radiation oncologist it will be interesting to see what happens to the nmcrpc place as the new imaging modalities become the norm,Negative,Neutral,0
7932,7936,will have imaging for all patients as needed for practice clinical use august september,Positive,Neutral,0
1779,1780,dr matrana stated that while they enjoy comprehensive ngs testing on all lung pancreatic cancer patients that walk in the door (stage iii iv for all other cancers) through strata oncology (dna rna panel) they have the ability to run the illumina tso 500 panel at their facility in shreveport lsu,Positive,Neutral,0
1785,1786,dr matrana stated that while they perform comprehensive ngs testing on all lung pancreas cancer patients that walk in the door (stage iii iv for all other cancers) through strata oncology (dna rna panel) they have the ability to run the illumina tso 500 panel at their facility in shreveport lsu,Positive,Neutral,0
11203,11211,roughly 11 months benefit is not a the smaller difference but with patients getting subsequent therapy on both arms 5 year f u and median os of at least 70 months the benefit could not be statistically proven,Negative,Neutral,0
5042,5046,tl asked about the mechanisms of resistant which was discussed,Positive,Neutral,0
343,344,tl reports working with anzup team to track psma expression in mhspc to define when best to deploy radionuclide therapies in mhspc (he suspects the best time will be at month 6 and it will be in pts with persistent psa and psma pet uptake),Positive,Neutral,0
3335,3337,tl has a gbm patient who has been on laro since 31219 and was doing well until fall of 2020 they started to show potential progression in the brainstem last radiation was in 2018 (no treatment method was planned at that time),Positive,Negative,0
3882,3884,tempus is the laboratory of election for the ngs panel including ntrk 1 2 and,Positive,Neutral,0
12468,12477,tl mentioned he incorporates a lot of genomic information in treatment including markers of answer to i-o like tmb and pd-l,Positive,Neutral,0
4884,4888,he also believes the sequestrations of ntrk fusions in msi-h crc may be a pathway of resistance mechanism to prior therapies,Positive,Neutral,0
756,757,i wish i could give it in metastatic neuroendocrine carcinomas nec disease (both mcspc and mcrpc),Positive,Neutral,0
6777,6781,dasl investigator asked if the recent stampede data from esmo in population would impact study since adt alone arm did not perform as well at with abi so be modified,Negative,Neutral,0
8798,8804,tl tests all metastatic neuroendocrine carcinomas nec gi patients using ngs to date no patient has presented with an ntrk fusion,Positive,Neutral,0
4829,4833,does not have ntrk patient but looking for them,Positive,Neutral,0
11200,11208,roughly 11 months edge is not a small difference but with patients getting subsequent therapy on both arms 5 year f u and median os of at least 70 months the benefit could not be statistically proven,Negative,Neutral,0
98,98,this could allow for increased consciousness in tumor types (ie,Positive,Neutral,0
9781,9789,for bcr study tips and advice to incorporate improved imaging and make it daro monotherapy,Positive,Negative,0
12671,12680,this study will be for dtc patients at institutions who have pulmonary metastates as is where there greatest burden of disease and currently approved through risc gisc with conditions,Positive,Negative,0
9136,9144,he for that reason is a big proponent on ihc and even though he sends out he has been increase his ntrk testing rate (5 month),Positive,Neutral,0
1001,1002,however if a psadt is less than 6 a few months he will consider an agent at that point,Positive,Neutral,0
749,750,i wish i could give it in malignant tissue disease (both mcspc and mcrpc),Positive,Neutral,0
3883,3885,tempus is the laboratory of selection for the ngs panel including ntrk 1 2 and,Positive,Neutral,0
1173,1174,tl states that in a msi-high and ntrk fusions crc patient he would decide first line treatment based on the patients perceived ability to tolerate an io therapy,Positive,Neutral,0
11491,11500,caveat being deciding these patients,Positive,Negative,0
12471,12480,tl mentioned he incorporates lot of genomic information in treatment including markers response to like tmb and,Positive,Neutral,0
2288,2289,c mentioned she is sporting a mix of both f1cdx and caris life sciences for her patients cgp needsmore recently she started using guardant 360 liquid biopsy (even with sufficient tissue) just to get a rapid ngs resultalso stated she will not completely rely on the liq biopsy ngs and will complement with tissue ngs for treatment decisions,Positive,Neutral,0
8797,8803,tl tests all metastatic small cell lung cancer sclc gi patients using ngs to date no patient has presented with an ntrk fusion,Positive,Neutral,0
8541,8547,it is because of to have less brain penetration,Negative,Neutral,0
6614,6618,regarding testing upgrades they now have an in-house sarcoma fusion panel at the institution,Positive,Neutral,0
1783,1784,dr matrana stated that while they perform comprehensive ngs tests on all lung pancreatic cancer patients that walk in the door (stage iii iv for all other cancers) through strata oncology (dna rna panel) they have the ability to run the illumina tso 500 panel at their facility in shreveport lsu,Positive,Neutral,0
6046,6050,s1216 was consistent with other agents used in mhspc (enza apa abi) the addition of tak-700 provided an impressive extensional to rpfs but was not powered to detect the difference in os compared to an active arm (lhrh bicalutamide),Neutral,Negative,0
10392,10400,we are a top enroller in the embarked study and in the single agent enzalutamide arm the patients testosterone goes way up and then there is concern for worsening disease,Negative,Neutral,0
1796,1797,dr matrana stated that while they perform comprehensive ngs testing on all lung pancreatic cancer patients that walk in the door (stage iii iv for all other cancers) through strata oncologies (dna rna panel) they have the ability to run the illumina tso 500 panel at their facility in shreveport lsu,Positive,Neutral,0
8783,8789,tl tests all metastatic ocular melanoma gi patients using ngs to date no patient has presented with an ntrk fusion,Positive,Negative,0
11165,11173,have not opened to recruitment yet as the protocol remains under review,Neutral,Negative,0
792,793,he said he can now build a case for potentially using a triple in certain high volume patients,Positive,Neutral,0
162,162,ntrkers is preparing outreach to other cancer patient advocacy groups and i believe this would be another opportunity to spread awareness for ntrk testing (ie,Positive,Neutral,0
7145,7149,the dfci pathways adapted adding on abiraterone for the stampede-m0 subpopulation ln on ct scan or 2 of 3 mri t3 4 psa 40 gl 8 or higher the high risk post rp psa persist or rising within a yr cohort is not impacted by stampede australia uk ireland canada will not be able to access abi for m0,Negative,Neutral,0
1172,1173,tl states that in a msi-high and ntrk fusion crc patient he would decide first line treatment based on the patients perceived ability to tolerate an io therapy,Positive,Neutral,0
167,167,ntrkers is planning outreach to other cancerous lesion patient advocacy groups and i believe this would be another opportunity to spread awareness for ntrk testing (ie,Positive,Neutral,0
9765,9773,embark patients have yet to progressed so dont think itll reach interregnum results by expected timeline of sept 202,Positive,Negative,0
6044,6048,s1216 was consistent with other agents used in mhspc (enza apa abi) the addition of tak-700 provided an impressiveness extension to rpfs but was not powered to detect the difference in os compared to an active arm (lhrh bicalutamide),Neutral,Negative,0
4822,4826,he cgp ngs profiles all his patients using caris f1cdx or tempus,Positive,Neutral,0
9769,9777,embark patients have yet to progressed so dont think itll arrive at interim results by expected timeline of sept 202,Positive,Negative,0
11142,11150,it is still early days but i would secret that bite technology will be better than radionuclides,Positive,Neutral,0
292,292,comprehensive ngs profiles all his high grade glioma patients with tempus (rna dna) ngs panel (covers ntrks),Positive,Neutral,0
9117,9125,tl stated that while he would love to see ngs run on everyone thats not currently the case most spaces and even at his academic institution,Positive,Neutral,0
6036,6040,s1216 was continuous with other agents used in mhspc (enza apa abi) the addition of tak-700 provided an impressive extension to rpfs but was not powered to detect the difference in os compared to an active arm (lhrh bicalutamide),Neutral,Negative,0
120,120,tnbc) where ntrk testing is not occurring on a regular basis and perhaps shed light on ntrk tki treatment patterns outside of clinical trials and in the absence of comparative data,Positive,Neutral,0
1354,1355,she is aware of ntrk fusions and relevance to cancer prevention therapy,Positive,Neutral,0
1177,1178,tl states that in a msi-high and ntrk fusion crc patient he would decide first line treatment basis on the patients perceived ability to tolerate an io therapy,Positive,Neutral,0
2116,2117,tl has second patient with an ntrk fusion whos case have been following for over year is unique who remained without evidence of progression treatment and gets mris every months,Positive,Negative,0
1793,1794,dr matrana stated that while they perform comprehensive ngs testing on all lung pancreatic cancer patients that walk in the door (stage iii iv for all other cancers) through stratum oncology (dna rna panel) they have the ability to run the illumina tso 500 panel at their facility in shreveport lsu,Positive,Neutral,0
7304,7308,come talk to me when you have a metastatic ovarian clear cell adenocarcinoma indication,Negative,Neutral,0
11210,11218,roughly 11 months benefit is not a small difference but with patients getting subsequent therapy on both arms 5 year f u and medial os of at least 70 months the benefit could not be statistically proven,Negative,Neutral,0
